회사명,산업,매출액,사원수,학업성취도,외국어,전문능력,대외활동,스펙지수
LG CNS,컴퓨터·하드웨어·장비,"3조 8,267억 8,102만원","6,358명 재직중",7.9,8.4,5.5,3.2,271
㈜신세계까사,목재·제지·가구,"1,710억",447명 재직중,8.0,7.5,5.9,2.4,236
롯데쇼핑(주),백화점·유통·도소매,"8조 4,082억 299만원","13,794명 재직중",8.0,8.7,4.8,2.8,239
현대건설(주),건설·시공·토목·조경,"10조 2,463억 1,500만원","6,238명 재직중",7.9,8.4,5.8,2.9,289
웅진식품㈜,음식료·외식·프랜차이즈,"2,417억 652만원",271명 재직중,7.7,8.3,5.4,3.5,273
(주)대웅제약,제약·보건·바이오,"1조 551억 6,953만원","1,510명 재직중",7.9,8.1,5.3,2.6,249
(주)해커스어학원,학원·어학원·교육원,"244억 2,390만원",921명 재직중,8.0,8.8,5.7,5.1,390
크래프톤,게임·애니메이션,1조1200억,"2,510명 재직중",8.4,9.0,6.7,1.7,293
한국산업기술진흥협회,공기업·공공기관,"838억 1,525만원",123명 재직중,7.7,7.6,5.5,2.8,247
(주)슈피겐코리아,생활용품·소비재·기타,3085억 5천만원,342명 재직중,7.7,8.7,6.4,5.4,380
(주)이마트,백화점·유통·도소매,"15조 538억 1,146만원","24,295명 재직중",7.8,8.7,4.8,3.1,224
(주)동원엔터프라이즈,음식료·외식·프랜차이즈,"872억 1,968만원","15,000명 재직중",7.9,7.8,7.2,2.2,259
(주)비상교육,출판·인쇄·사진,"1,677억 4,156만원",670명 재직중,7.9,8.1,6.2,3.9,276
본아이에프(주),음식료·외식·프랜차이즈,"2,482억 4,219만원",224명 재직중,7.7,7.6,6.8,4.0,288
한국산업기술시험원,공기업·공공기관,"1,242억 6,826만원",719명 재직중,7.7,7.3,6.8,2.0,227
네이버아이앤에스(주),포털·컨텐츠·커뮤니티,"199억 7,397만원",150명 재직중,7.7,9.0,4.7,3.3,270
㈜아이디스,컴퓨터·하드웨어·장비,1092억,360명 재직중,7.8,8.5,5.0,2.8,282
㈜트라이씨클,쇼핑몰·오픈마켓·소셜커머스,"919억 3,812만원",200명 재직중,7.9,7.9,6.3,3.3,268
㈜D&O,부동산·중개·임대,"1,395억 4,100만원",391명 재직중,8.1,8.2,6.3,3.1,237
신성통상㈜,섬유·의류·패션,"1조 1,994억 633만원",841명 재직중,8.0,8.6,4.5,3.2,270
(주)동진쎄미켐,화학·에너지·환경,"7,937억 3,079만원","1,216명 재직중",7.8,7.4,5.3,2.7,287
(주)GS ITM,솔루션·SI·CRM·ERP,"2,548억 3,539만원",767명 재직중,8.0,7.5,9.2,5.8,384
아반스트레이트코리아(주),반도체·디스플레이·광학,"120억 5,040만원",116명 재직중,7.8,7.3,7.1,1.3,261
호텔롯데 롯데면세점,백화점·유통·도소매,,목재·제지·가구,8.7,9.4,7.2,6.6,447
깨끗한나라㈜,"5,766억 9,054만원",594명 재직중,제약·보건·바이오,8.0,8.4,6.2,2.9,259
경동제약(주),"1,778억",643명 재직중,솔루션·SI·CRM·ERP,7.6,7.9,7.0,2.4,244
티맥스그룹,1002억,482명 재직중,기계·기계설비,7.8,7.8,7.3,1.6,233
탑엔지니어링,"1,726억 368만원",382명 재직중,솔루션·SI·CRM·ERP,7.9,7.7,5.9,3.5,265
이니텍(주),"502억 5,561만원",223명 재직중,전기·전자·제어,7.6,8.1,7.6,1.7,236
청호나이스,"4,210억 2,643만원","1,091명 재직중",음식료·외식·프랜차이즈,7.8,7.9,6.3,1.4,229
