회사명,산업,매출액,사원수,학업성취도,외국어,전문능력,대외활동,스펙지수
케이비증권㈜,증권·보험·카드,"8조 3,609억 2,434만원","2,822명 재직중",8.2,8.4,7.7,1.5,230
쌍용건설(주),건설·시공·토목·조경,"1조 2,000억원","1,200명 재직중",8.0,8.4,6.0,1.5,264
잡코리아(유),포털·컨텐츠·커뮤니티,440명 재직중,공기업·공공기관,7.6,7.7,5.5,3.8,277
한국산업안전보건공단,"5,236억 8,684만원","1,562명 재직중",네트워크·통신서비스,8.1,7.3,8.3,2.6,279
SK플래닛,"2,806억 2,992만원",832명 재직중,기계·기계설비,8.0,8.4,3.8,5.7,238
STX엔진(주),"4,582억 8,206만원",865명 재직중,섬유·의류·패션,8.3,8.1,4.9,2.4,191
데상트코리아(주),"6,784억",580명 재직중,출판·인쇄·사진,8.2,8.6,5.5,4.1,320
(주)동아일보사,"2,540억 2,950만원",793명 재직중,공기업·공공기관,7.7,8.4,5.1,3.5,260
한국수력원자력(주),"9조 3,243억 9,119만원","12,570명 재직중",제약·보건·바이오,8.0,7.8,6.8,3.2,322
